Date,District,Time,CO,FSP,NO2,NOX,O3,RSP,SO2
20200101,Causeway Bay,9,89,3,68,198,19,49,6
20200102,Causeway Bay,9,79,2,88,2,15,51,7
20200103,Causeway Bay,9,94,3,155,487,9,52,11
20200104,Causeway Bay,9,76,2,87,2,2,42,7
20200105,Causeway Bay,9,61,2,54,115,3,3,5
20200106,Causeway Bay,9,74,2,75,181,2,3,6
20200107,Causeway Bay,9,147,2,117,72,2,50,16
20200108,Causeway Bay,9,95,40,86,3,8,67,11
20200109,Causeway Bay,9,100,2,92,194,3,50,7
20200110,Causeway Bay,9,109,3,106,2,2,62,9
20200111,Causeway Bay,9,92,40,76,2,2,65,4
20200112,Causeway Bay,9,12,16,74,2,6,3,8
20200113,Causeway Bay,9,109,2,64,198,8,43,6
20200114,Causeway Bay,9,98,3,81,183,3,62,5
20200115,Causeway Bay,9,84,3,71,144,42,57,3
20200116,Causeway Bay,9,104,3,87,2,18,58,5
20200117,Causeway Bay,9,13,2,78,3,4,53,7
20200118,Causeway Bay,9,12,2,76,2,7,3,7
20200119,Causeway Bay,9,106,2,64,2,2,3,5
20200120,Causeway Bay,9,117,2,98,2,9,3,5
20200121,Causeway Bay,9,116,NaN,92,196,2,NaN,4
20200122,Causeway Bay,9,12,3,12,43,15,50,8
20200123,Causeway Bay,9,109,3,92,2,17,62,5
20200124,Causeway Bay,9,100,3,68,178,16,48,4
20200125,Causeway Bay,9,98,2,68,2,2,3,5
20200126,Causeway Bay,9,108,4,3,12,4,6,5
20200127,Causeway Bay,9,84,9,40,95,2,14,2
20200128,Causeway Bay,9,89,12,50,12,2,2,3
20200129,Causeway Bay,9,105,2,93,3,6,2,8
20200130,Causeway Bay,9,79,2,87,2,2,3,7
20200131,Causeway Bay,9,86,NaN,88,2,2,NaN,7
20200101,Central,9,87,2,52,99,3,3,6
20200102,Central,9,78,13,90,2,18,2,7
20200103,Central,9,82,2,109,2,15,3,9
20200104,Central,9,73,2,87,152,2,3,7
20200105,Central,9,58,13,44,68,53,2,5
20200106,Central,9,78,14,97,2,2,2,8
20200107,Central,9,107,2,12,412,6,40,10
20200108,Central,9,96,2,101,2,9,51,9
20200109,Central,9,104,19,92,152,49,44,4
20200110,Central,9,110,3,112,193,3,55,6
20200111,Central,9,89,3,86,142,2,50,4
20200112,Central,9,119,10,72,181,10,2,6
20200113,Central,9,118,18,70,184,12,3,6
20200114,Central,9,105,3,100,182,3,53,6
20200115,Central,9,88,2,102,190,3,45,4
20200116,Central,9,108,3,101,2,18,52,5
20200117,Central,9,13,2,92,3,6,54,9
20200118,Central,9,119,14,68,153,15,2,5
20200119,Central,9,105,16,61,112,2,3,4
20200120,Central,9,116,2,12,3,9,3,8
20200121,Central,9,12,3,107,2,2,56,4
20200122,Central,9,116,3,12,2,3,45,5
20200123,Central,9,112,3,110,2,15,49,5
20200124,Central,9,108,2,85,2,14,3,5
20200125,Central,9,84,15,41,62,50,2,3
20200126,Central,9,12,5,40,187,5,8,6
20200127,Central,9,93,6,60,153,13,12,5
20200128,Central,9,87,11,71,2,10,18,6
20200129,Central,9,104,17,102,3,7,2,9
20200130,Central,9,87,2,114,2,15,3,9
20200131,Central,9,95,3,119,3,11,3,10
20200101,Mong Kok,9,74,2,50,79,2,3,3
20200102,Mong Kok,9,64,19,79,151,15,2,3
20200103,Mong Kok,9,68,3,83,146,15,43,4
20200104,Mong Kok,9,65,3,99,186,18,40,5
20200105,Mong Kok,9,50,17,60,101,3,2,3
20200106,Mong Kok,9,74,19,102,2,10,2,5
20200107,Mong Kok,9,12,2,12,3,1,40,9
20200108,Mong Kok,9,80,3,98,2,2,47,6
20200109,Mong Kok,9,94,2,100,169,3,41,3
20200110,Mong Kok,9,94,3,100,172,3,58,4
20200111,Mong Kok,9,73,3,91,157,19,50,2
20200112,Mong Kok,9,92,9,47,82,19,18,3
20200113,Mong Kok,9,101,2,65,148,7,50,4
20200114,Mong Kok,9,98,42,113,2,14,61,4
20200115,Mong Kok,9,75,3,95,171,2,54,2
20200116,Mong Kok,9,86,43,85,158,17,60,3
20200117,Mong Kok,9,96,2,55,12,11,3,3
20200118,Mong Kok,9,108,17,73,178,5,2,5
20200119,Mong Kok,9,82,2,54,89,2,3,2
20200120,Mong Kok,9,98,2,87,2,7,2,4
20200121,Mong Kok,9,107,3,107,199,14,49,3
20200122,Mong Kok,9,102,46,13,2,7,58,5
20200123,Mong Kok,9,86,3,92,165,15,43,3
20200124,Mong Kok,9,84,3,93,2,3,44,4
20200125,Mong Kok,9,70,16,67,12,2,2,2
20200126,Mong Kok,9,87,2,2,77,6,1,2
20200127,Mong Kok,9,73,3,3,75,2,4,1
20200128,Mong Kok,9,62,4,47,86,2,5,1
20200129,Mong Kok,9,78,17,73,165,18,19,3
20200130,Mong Kok,9,56,2,50,82,48,2,3
20200131,Mong Kok,9,60,2,69,104,3,2,3
20200101,Tap Mun,9,87,18,11,13,62,3,7
20200102,Tap Mun,9,70,16,6,8,75,2,6
20200103,Tap Mun,9,68,2,12,14,79,3,8
20200104,Tap Mun,9,68,19,15,17,47,2,6
20200105,Tap Mun,9,56,14,4,6,78,3,6
20200106,Tap Mun,9,65,17,9,11,62,3,6
20200107,Tap Mun,9,71,17,13,16,3,2,7
20200108,Tap Mun,9,75,2,18,2,42,41,7
20200109,Tap Mun,9,99,2,7,9,107,44,6
20200110,Tap Mun,9,99,2,11,13,94,47,7
20200111,Tap Mun,9,81,2,9,11,79,43,6
20200112,Tap Mun,9,116,6,15,19,3,16,6
20200113,Tap Mun,9,112,17,19,2,3,3,7
20200114,Tap Mun,9,93,2,9,11,91,40,7
20200115,Tap Mun,9,74,2,7,9,91,44,6
20200116,Tap Mun,9,90,2,7,9,84,42,6
20200117,Tap Mun,9,12,8,11,13,3,15,6
20200118,Tap Mun,9,119,16,14,16,3,2,7
20200119,Tap Mun,9,112,2,13,15,3,41,7
20200120,Tap Mun,9,105,18,13,15,40,2,7
20200121,Tap Mun,9,100,2,7,9,98,3,7
20200122,Tap Mun,9,93,2,10,12,75,3,7
20200123,Tap Mun,9,89,3,9,11,62,47,7
20200124,Tap Mun,9,75,16,11,13,54,2,7
20200125,Tap Mun,9,74,16,8,10,72,3,8
20200126,Tap Mun,9,104,5,6,8,2,7,7
20200127,Tap Mun,9,94,4,3,4,49,6,7
20200128,Tap Mun,9,80,8,3,5,52,12,8
20200129,Tap Mun,9,92,17,3,5,71,2,8
20200130,Tap Mun,9,76,2,3,5,84,2,9
20200131,Tap Mun,9,74,2,3,5,88,3,9
20200101,Tseung Kwan ,9,73,12,2,2,61,2,3
20200102,Tseung Kwan ,9,58,13,18,2,72,2,2
20200103,Tseung Kwan ,9,58,16,2,2,72,2,4
20200104,Tseung Kwan ,9,56,2,3,41,68,3,2
20200105,Tseung Kwan ,9,45,9,12,18,80,16,2
20200106,Tseung Kwan ,9,55,6,2,3,66,2,2
20200107,Tseung Kwan ,9,91,16,69,13,15,2,3
20200108,Tseung Kwan ,9,62,19,2,3,47,42,4
20200109,Tseung Kwan ,9,86,2,15,2,105,42,2
20200110,Tseung Kwan ,9,84,2,2,3,98,43,4
20200111,Tseung Kwan ,9,67,2,2,2,82,3,2
20200112,Tseung Kwan ,9,93,6,2,3,3,18,3
20200113,Tseung Kwan ,9,89,8,3,44,2,3,3
20200114,Tseung Kwan ,9,69,3,2,2,87,47,3
20200115,Tseung Kwan ,9,58,2,2,2,85,3,2
20200116,Tseung Kwan ,9,66,3,2,3,70,47,2
20200117,Tseung Kwan ,9,94,9,3,43,2,2,2
20200118,Tseung Kwan ,9,97,8,3,43,2,3,3
20200119,Tseung Kwan ,9,82,10,18,2,45,19,1
20200120,Tseung Kwan ,9,88,10,3,44,3,13,2
20200121,Tseung Kwan ,9,83,2,2,3,88,3,0
20200122,Tseung Kwan ,9,76,3,3,3,86,40,1
20200123,Tseung Kwan ,9,69,2,2,3,70,42,0
20200124,Tseung Kwan ,9,56,18,13,18,65,2,0
20200125,Tseung Kwan ,9,53,13,12,19,71,18,0
20200126,Tseung Kwan ,9,82,NaN,14,2,18,NaN,0
20200127,Tseung Kwan ,9,80,0,15,2,42,6,0
20200128,Tseung Kwan ,9,64,5,18,2,43,9,0
20200129,Tseung Kwan ,9,66,16,9,14,71,18,0
20200130,Tseung Kwan ,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200131,Tseung Kwan ,9,62,2,17,2,78,2,2
20200101,Tsuen Wan,9,97,19,41,51,3,2,0
20200102,Tsuen Wan,9,82,17,68,93,2,2,0
20200103,Tsuen Wan,9,90,13,74,106,2,2,1
20200104,Tsuen Wan,9,85,2,77,117,13,3,2
20200105,Tsuen Wan,9,69,13,3,46,52,18,0
20200106,Tsuen Wan,9,86,5,80,12,3,13,2
20200107,Tsuen Wan,9,111,17,90,2,4,2,NaN
20200108,Tsuen Wan,9,96,19,63,95,2,3,5
20200109,Tsuen Wan,9,112,18,54,64,61,3,3
20200110,Tsuen Wan,9,117,2,74,91,42,3,3
20200111,Tsuen Wan,9,100,15,71,96,2,2,3
20200112,Tsuen Wan,9,119,8,44,60,15,17,3
20200113,Tsuen Wan,9,12,2,60,102,12,3,3
20200114,Tsuen Wan,9,91,2,55,70,51,42,6
20200115,Tsuen Wan,9,67,2,45,59,54,42,5
20200116,Tsuen Wan,9,78,3,42,52,46,41,4
20200117,Tsuen Wan,9,99,16,47,87,9,2,5
20200118,Tsuen Wan,9,104,12,45,66,16,17,6
20200119,Tsuen Wan,9,88,2,40,52,2,3,4
20200120,Tsuen Wan,9,94,18,54,81,16,2,5
20200121,Tsuen Wan,9,99,2,59,82,44,3,5
20200122,Tsuen Wan,9,83,2,57,67,3,3,4
20200123,Tsuen Wan,9,72,17,43,59,3,19,4
20200124,Tsuen Wan,9,62,17,3,47,3,2,4
20200125,Tsuen Wan,9,54,7,2,3,51,10,4
20200126,Tsuen Wan,9,80,5,13,2,14,5,4
20200127,Tsuen Wan,9,72,8,19,2,3,8,4
20200128,Tsuen Wan,9,58,9,2,2,3,9,5
20200129,Tsuen Wan,9,73,14,3,56,3,15,5
20200130,Tsuen Wan,9,60,2,3,52,51,2,6
20200131,Tsuen Wan,9,74,2,54,77,44,2,6
20200101,Tuen Mun,9,71,2,2,3,45,3,4
20200102,Tuen Mun,9,53,19,43,61,3,3,4
20200103,Tuen Mun,9,92,3,76,2,6,51,8
20200104,Tuen Mun,9,99,3,81,2,6,59,9
20200105,Tuen Mun,9,48,18,2,3,66,2,4
20200106,Tuen Mun,9,55,18,52,66,48,3,4
20200107,Tuen Mun,9,85,2,82,196,9,50,7
20200108,Tuen Mun,9,68,3,56,85,19,58,8
20200109,Tuen Mun,9,81,17,41,47,76,41,4
20200110,Tuen Mun,9,84,2,73,91,3,3,5
20200111,Tuen Mun,9,91,3,81,166,10,40,6
20200112,Tuen Mun,9,101,18,3,63,15,40,7
20200113,Tuen Mun,9,109,2,59,115,10,41,7
20200114,Tuen Mun,9,83,3,65,83,46,46,5
20200115,Tuen Mun,9,70,2,78,117,2,48,5
20200116,Tuen Mun,9,77,2,61,83,3,3,5
20200117,Tuen Mun,9,101,2,3,57,19,49,5
20200118,Tuen Mun,9,102,17,47,79,14,2,6
20200119,Tuen Mun,9,94,2,3,48,2,44,6
20200120,Tuen Mun,9,94,2,44,83,11,2,6
20200121,Tuen Mun,9,90,3,45,54,56,3,4
20200122,Tuen Mun,9,91,46,82,117,2,65,5
20200123,Tuen Mun,9,102,3,66,144,9,43,6
20200124,Tuen Mun,9,83,19,59,104,11,2,5
20200125,Tuen Mun,9,59,13,15,18,63,15,4
20200126,Tuen Mun,9,90,7,2,3,16,5,4
20200127,Tuen Mun,9,81,9,2,2,3,8,4
20200128,Tuen Mun,9,60,9,2,3,3,9,3
20200129,Tuen Mun,9,70,19,2,3,53,2,4
20200130,Tuen Mun,9,61,3,3,43,63,41,5
20200131,Tuen Mun,9,73,74,62,84,3,89,7
20200101,Yuen Long,9,68,18,3,40,3,40,4
20200102,Yuen Long,9,48,13,45,51,45,3,4
20200103,Yuen Long,9,103,2,81,3,3,59,5
20200104,Yuen Long,9,105,2,80,3,2,48,5
20200105,Yuen Long,9,42,11,2,3,62,2,4
20200106,Yuen Long,9,52,11,45,53,57,2,4
20200107,Yuen Long,9,97,2,78,2,6,44,5
20200108,Yuen Long,9,75,40,56,85,17,46,7
20200109,Yuen Long,9,90,17,49,56,68,42,4
20200110,Yuen Long,9,97,3,70,94,45,3,4
20200111,Yuen Long,9,98,2,76,2,11,45,5
20200112,Yuen Long,9,109,10,41,57,19,2,5
20200113,Yuen Long,9,106,17,52,82,9,3,6
20200114,Yuen Long,9,101,2,74,114,3,3,5
20200115,Yuen Long,9,74,2,49,64,55,40,4
20200116,Yuen Long,9,96,3,57,87,3,3,2
20200117,Yuen Long,9,119,5,3,59,15,2,4
20200118,Yuen Long,9,111,19,43,66,14,2,4
20200119,Yuen Long,9,108,2,3,44,2,45,5
20200120,Yuen Long,9,106,19,40,69,9,2,5
20200121,Yuen Long,9,12,3,76,13,2,3,4
20200122,Yuen Long,9,100,45,62,76,3,47,4
20200123,Yuen Long,9,86,NaN,58,12,17,2,4
20200124,Yuen Long,9,96,2,58,2,1,2,5
20200125,Yuen Long,9,56,7,2,2,58,19,3
20200126,Yuen Long,9,85,1,18,3,12,7,3
20200127,Yuen Long,9,69,3,15,2,3,8,5
20200128,Yuen Long,9,47,6,2,3,3,11,5
20200129,Yuen Long,9,59,15,2,3,49,2,5
20200130,Yuen Long,9,48,2,2,3,63,3,6
20200131,Yuen Long,9,48,3,3,50,52,3,6